instruction,input,output,text
Why might it be advisable to keep student debt vs. paying it off quickly?,,"Congratulations for achieving an important step in the road to financial freedom. Some view extending loan payment of loans that allow the deduction of interest as a good thing. Some view the hit on the credit score by prematurely paying off an installment loan as a bad thing.  Determining the order of paying off multiple loans in conjunction with the reality of income, required monthly living expense, and the need to save for emergencies is highly individualized.  Keeping an artificial debt seems to make little sense, it is an expensive insurance policy to chase a diminishing tax benefit and boost to a credit score. Keep in mind it is a deduction, not a credit, so how much you save depends on your tax bracket.  It might make sense for somebody to extend the loan out for an extra year or two, but you can't just assume that that advice applies in your situation. Personally I paid off my student loan early, as soon as it made sense based on my income, and my situation. I am glad I did, but for others the opposite made more sense.",
Can a company block a specific person from buying its stock?,,"A more serious problem: how do you know who's really buying your stock? ""Shell companies"" are an increasingly obvious problem in corporate and tax accountability. There are jurisdictions where companies can be created with secret lists of directors and shareholders. If stock is bought by one of these companies, it is very hard to trace it to a particular individual.",
What are the pros and cons of buying an item on installments with zero percent interest?,,"I personally take the zero percent financing plans any day.  I have done this with my car and the iphone 6s.  The vendors are trying to make it more attractive for you to ""afford"" the product.  It could show up on your credit report and impact the amount of money you can borrow in the future (e.g getting a home loan).  The other thing I do is make sure the monthly payments are automatically paid from my bank account so I don't miss any payments",
why do energy stocks trade at lower prices compared to other sectors?,,"I don't know why stocks in some industries tend to have lower prices per share than others. It doesn't really matter much. Whether a company has 1,000,0000 shares selling for $100 each, or 10,000,000 shares selling for $10 each, either way the total value is the same. Companies generally like to keep the share price relatively low so that if someone wants to buy a small amount, they can. Like if the price was $10,000 per share, than an investor with less than $10,000 to put in that one stock would be priced out of the market. If it's $10, then if someone wants $10 they can buy one share, and if someone wants $10,000 they can buy 1000 shares. As to why energy stocks are volatile, I can think of several reasons. One, in our current world, energy is highly susceptible to politics. A lot of the world's energy comes from the Middle East, which is a notoriously unstable region. Any time there's conflict there, energy supplies from the region become uncertain. Oil-producing countries may embargo countries that they don't like. A war will, at the very least, interfere with transportation and shipping, and may result in oil wells being destroyed. Etc. Two, energy is consumed when you use it, and most consumers have very limited ability to stockpile. So you're constantly buying the energy you need as you need it. So if demand goes down, it is reflected immediately. Compare this to, say, clothing. Most people expect to keep the same clothes for years, wearing them repeatedly. (Hopefully washing them now and then!) So if for some reason you decided today that you only need three red shirts instead of four, this might not have any immediate impact on your buying. It could be months before you would have bought a new red shirt anyway. There is a tendency for the market to react rather slowly to changes in demand for shirts. But with energy, if you decide you only need to burn 3 gallons of gas per week instead of 4, your consumption goes down immediately, within days. Three, really adding to number two, energy is highly perishable, especially some forms of energy. If a solar power station is capable of producing 10 megawatts but today there is only demand for 9 megawatts, you can't save the unused megawatt for some future time when demand is higher. It's gone. (You can charge a battery with it, but that's pretty limited.) You can pile up coal or store natural gas in a tank until you need it, but you can't save the output of a power plant. Note numbers two and three also apply to food, which is why food production is also very volatile.",
"First Job, should I save or invest?",,"Congrats on your first real job! Save as much as your can while keeping yourself (relatively) comfortable.  As to where to put your hard earned money, first establish why you want to save the money in the first place. Money is a mean to acquire the things we want or need in your life or the lives of others. Once your goals are set, then follow this order:",
Why is property investment good if properties de-valuate over time?,,"One reason for this is that many people don't simply allow their houses to rot and decay. If you're talking about a house built in 1980 and left vacant and unmaintained for 35 years, it probably will be in pretty poor shape.  But a homeowner generally wants to preserve their house and maintain it in good condition, so they invest in things like new roofs, siding, gutters, windows, paint, exterminators, new furnaces, hot water heaters, air conditioners, etc... All this stuff costs money (and for tax purposes, can often be factored into the cost basis of the house when it is sold), but it maintains the value of the property. A small hole in the roof may be fairly cheap to fix, but if left unrepaired, it could eventually cause much of the building to rot, making the structure near worthless. If a car slams into your living room, you don't generally leave it there; most people repair the damage.  It's not uncommon in some areas to have 100 year old houses (or 300+ year old houses in some countries) that were built well in the first place and have been well maintained in the interim.  People also renovate their homes, ripping out outdated construction and appliances and sometimes building new additions, decks, porches, etc... This also serves to make the property more attractive and increases its value.",
Why are index funds called index funds?,,"Because they track an index. Edited: The definition of the word in this case meaning ""something used or serving to point out; a sign, token, or indication"" from Meaning  #3 I presume therefore you are asking what an index is? There are many variations of what makes up an Index but in short it is a representation of some part of a market. An extremely simplistic calculation would be to take a basket of stocks, and sum their prices.  If one stock moves up a dollar, and one moves down a dollar, the index has effectively not changed, as it is presumed that the loss in one is offset by the gain in the other.",
What does PMI mean?,,"Private Mortgage Insurance. It's money that you pay to an insurance company to make the lender whole in the event that you go into default. It's a real waste of money for you. If you are trying to finance more than 80% of the value of a home, a standard mortage is likely to require that you get PMI. Nowadays there are other options which involve paying substantially more interest.",
How to distinguish gift from payment for the service?,,"Generally, a one time thing is considered a gift. For the donor this is obviously not a deductible expense, except for some specific cases (for example promotional gifts under $25 to vendors can be deducted, if you're a business, or charitable contributions to a recognized charity). However, if this is a regular practice - that would not be considered as a gift, but rather as a tax fraud, a criminal offense. Being attentive I would like to make a little gift or give some little   (<100$) amount of money (cash/wire/online) for that Why? Generally, gift is exempt from income if no services were provided and the gift was made in good faith. In the situation you describe this doesn't hold. When the gift is exempt from income to the receiver - the donor pays the tax (in this case, below exemption the tax is zero). If the gift is not exempt from income to the receiver - it is no longer a gift and the receiver is paying income taxes, not the donor. The situation you describe is a classic tax evasion scheme. If someone does it consistently and regularly (as a receiver, donor, or both) - he would likely end up in jail.",
Recent college grad. Down payment on a house or car?,,"Given the state of the economy, and the potential of a rough near future for us recent grads (i.e. on/off work), I would recommend holding off on large purchases while your life is in flux.  This includes both a NEW car and purchasing a house. My short answer is: you need a reliable vehicle, so purchase a used car, from a major dealer (yes this will add a fairly high premium, but easier financing), that is 4-5 years old, or more.  Barring the major dealer purchase, be sure to get a mechanic to check out a vehicle, many will offer this service for a reasonable payment.  As people point out, cars these days will run for another 100k miles.  You will NOT have to pay anywhere near $27,000 for this vehicle.  You may need to leverage your 10k for a loan if you choose to finance, but it should not be a problem, especially as you seem to imply an established credit history. In addition to this, start saving your money for the house you would like to eventually get.  We have no idea where you live, but, picking rough numbers, assuming a 2 year buy period, 20% down, and a $250,000 home, the down payment alone will require you to save ~$2,000/month starting now. Barring either of these options, max out your money to tax sheltered accounts (your Roth IRA, work 401k, or a regular IRA) asap.  Obviously, do not deplete your emergency fund, if anything, increase it.  10k can be burned through in a heartbeat. Long Answer:  I purchased a brand new car, right out of school, at a reasonable interest rate.  Like you, I can afford this vehicle, however, if someone were to come to me today (3.5 years later) and offer me the opportunity to take it back and purchase a 4-5 year used vehicle, at a 4-5 year used car price, albeit at a much higher interest rate (since I financed), it would be about a 0.02 second decision. I like my car, but, I'd like the differential cash savings between it and a reliable used car more.  $27,000 is also fairly expensive for a new vehicle, there are many, very nice vehicles, for 21-23k.  I still would not consider these priced appropriate to spend your money on them, but they exist.  However, you do very much need a reliable vehicle, and I think you should get one. On the home front, your $400 all inclusive rent is insanely cheap.  Many people spend more than that on property tax and PMI each year, so anyone who throws the ""You're throwing money away!"" line at you is blowing smoke to justify their own home purchase.  Take the money you would have spent on a mortgage, and squirrel it away.  Do your own due diligence and research the home market in your area and decide for yourself if you think home prices have bottomed and will stay there, have further to go, or are going to begin to rise.  That is a decision only you can make for yourself. I'd add a section about getting expenses under control, but you said you could save 50% of your takehome pay.  This is an order of magnitude above the average.  Good job.  Try doing 50% for 4 months, then calculate your actual amount.  Then try to beat it.",
Comparing keeping old car vs. a new car lease,,"Look at the basic cost of the lease.  Option 1: keep the car for three years. Pay for repairs during that time then sell it for $7,000. Option 2: Sell the current car for $10,000. Lease a new car for three years. Assume no need for repairs during those three years. At the end of the three years return the car in return for $0. Cost of option 1 is $3000 plus repairs.  Cost of Option 2 is 36 months x monthly lease cost. The first $83 of the monthly lease cost is to cover the $3000 fixed cost of option 1. The rest of the monthly lease cost is to cover the cost of repairs. Also remember that some leases have a initial down payment due at signing, and penalties for condition, and excess mileage. The lease company may also require a higher level of insurance for the lease to cover their investment if you have an accident.  Plus If you fall in love with a different car two year from now, or your needs change you are locked in until the end of the lease period.",
How does giving to charity work?,,"For many people, giving to charity will have minimal effect on their taxes. Non-profits love to attract donations by saying the money is tax deductible, but for most people, it doesn't work out that way. You will only itemize deductions if they exceed your standard deduction. The IRS allows you to either ""itemize"" your deductions (where you list each deduction you can take) or take the ""standard deduction"". Consider a married couple filing jointly in 2011. Their standard deduction is $11,400. They are in the 28% tax bracket. They donate $100 of old clothes to the Goodwill, and are looking forward to deducting that on your taxes, and getting $28 of that back. If that's their only deduction, though, they'd have to give up the standard deduction to take the itemized deduction. Not worth it. Suppose instead they have $11,500 of deductions in 2011. Now we're talking, right? No. The tax impact of itemizing is only $28, since they only exceeded the standard deduction by $100. The cost of having a tax accountant fill out the itemization form probably offsets that small gain. There's also all the time that went in to tracking those deductions over the year. Not worth it.  Tax deductions only become worthwhile when they significantly exceed the standard deduction. You need some big ticket items to get past the itemized deduction threshold. For most people, this only happens when they have a mortgage, as the interest on a residence is deductible.  Folks love to suggest that having a mortgage is a good deal, because the interest is deductible. However, since you have to exceed the standard deduction before it makes sense to itemize, it's not likely to be a big win. For most people: TL;DR: Give to charity because you want that charity to have your money. Tax implications are minimal; let your accountant sort it out. Disclaimer: I am not an accountant.",
Why is routing number called ABA/ABN number?,,"With number of Banks increasing every country at some point in time adopted an Identification code. In US these are called ABA number because they are allocated by American Bankers Association, in UK Sort Codes ... like wise for other countries. See list here http://en.wikipedia.org/wiki/Bank_code In some countries the numbers are given by Central Bank.   To enable internationl payments, the SWIFT body apart from message formats, allocated a  SWIFT BIC [Bank identification Code] so that Banks can be globally identified. Currently  IBAN being adopted in Europe & Australia to identify an Account [at a Bank] Uniquely across globe. In essence these number help uniquely identify a Location/Bank/Branch. The clearing house route the payments or collection instruments to the correct Bank on the basis of this number.",
How did I end up with a fraction of a share?,,"Theoretically, yes, you can only buy or sell whole shares (which is why you still have .16 shares in your account; you can't sell that fraction on the open market). This is especially true for voting stock; stock which gives you voting rights in company decisions makes each stock one vote, so effectively whomever controls the majority of one stock gets that vote. However, various stock management policies on the part of the shareholder, brokerage firm or the issuing company can result in you owning fractional shares. Perhaps the most common is a retirement account or other forward-planning account. In such situations, it's the dollar amount that counts; when you deposit money you expect the money to be invested in your chosen mix of mutual funds and other instruments. If the whole-shares rule were absolute, and you wanted to own, for instance, Berkshire Hathaway stock, and you were contributing a few hundred a month, it could take you your entire career of your contributions sitting in a money-market account (essentially earning nothing) before you could buy even one share. You are virtually guaranteed in such situations to end up owning fractions of shares in an investment account. In these situations, it's usually the fund manager's firm that actually holds title to the full share (part of a pool they maintain for exactly this situation), and your fractional ownership percentage is handled purely with accounting; they give you your percentage of the dividends when they're paid out, and marginal additional investments increase your actual holdings of the share until you own the whole thing. If you divest, the firm sells the share of which you owned a fraction (or just holds onto it for the next guy fractionally investing in the stock; no need to pay unnecessary broker fees) and pays you that fraction of the sale price.  Another is dividend reinvestment; the company may indicate that instead of paying a cash dividend, they will pay a stock dividend, or you yourself may indicate to the broker that you want your dividends given to you as shares of stock, which the broker will acquire from the market and place in your account. Other common situations include stock splits that aren't X-for-1. Companies often aren't looking to halve their stock price by offering a two-for-one split; they may think a smaller figure like 50% or even smaller is preferable, to fine tune their stock price (and thus P/E ratio and EPS figures) similar to industry competitors or to companies with similar market capitalization. In such situations they can offer a split that's X-for-Y with X>Y, like a 3-for-2, 5-for-3 or similar. These are relatively uncommon, but they do happen; Home Depot's first stock split, in 1987, was a 3-for-2. Other ratios are rare, and MSFT has only ever been split 2-for-1. So, it's most likely that you ended up with the extra sixth of a share through dividend reinvestment or a broker policy allowing fractional-share investment.",
Why do financial institutions charge so much to convert currency?,,"Is there not some central service that tracks current currency rates that banks can use to get currency data? Sure.  But this doesn't matter.  All the central service can tell you is how much the rate was historically.  But the banks/PayPal don't care about the historical value.  They want to know the price that they'll pay when they get around to switching, not the last price before the switch.  Beyond that, there is a transaction cost to switching.  They have to pay the clearinghouse for managing the transaction.   The banks can choose to act as a clearinghouse, but that increases their risk.  If the bank has a large balance of US dollars but dollars are falling, then they end up eating that cost.  They'll only take that risk if they think that they'll make more money that way.  And in the end, they may have to go on the currency market anyway.  If a European bank runs out of US dollars, they have to buy them on the open market.  Or a US bank might run out of Euros.  Or Yen.  Etc.   Another problem is that many of the currency transactions are small, but the overhead is fixed.  If the bank has to pay $5 for every currency transaction, they won't even break even charging 3% on a $100 transaction.  So they delay the actual transaction so that they can make more than one at a time.  But then they have the risk that the currency value might change in the meantime.  If they credit you with $97 in your account ($100 minus the 3% fee) but the price actually drops from $100 to $99, they're out the $1.   They could do it the other way as well.  You ask for a $100 transaction.  They perform a $1000 transaction, of which they give you $97.  Now they have $898 ($1000 minus the $5 they paid for the transaction plus the $3 they charged you for the transaction).  If there's a 1% drop, they're out $10.98 ($8.98 in currency loss plus a net $2 in fees).   This is why banks have money market accounts.  So they have someone to manage these problems working twenty-four hours a day.  But then they have to pay interest on those accounts, further eating into their profits.  Along with paying a staff to monitor the currency markets and things that may affect them.",
Is it a good investment for a foreigner to purchase a flat/apartment in China?,,"I think a greater problem would be the protection of your property right.  China hasn't shown much respect for the property rights of its own citizens - moving people off subsistence farms in order to build high-rise apartments - so I'm not certain that a foreigner could expect much protection.  A first consideration in any asset purchase should always be consideration of the strength of local property law.  By all accounts, China fails.",
What is needed to be a “broker”?,,"You must understand that: So, if you -- the prospective buyer -- are in Waukegan, do you take the train all the way to New York City just to buy 100 shares of stock?  No.  That would be absurdly expensive.  So, you hire an agent in NYC who will broker a deal for you in the exchange. Fast forward 100 years, to the time when instant communications is available.  Why do we now still need brokerages, when the Exchanges could set up web sites and let you do the trading? The answer is that the Exchanges don't want to have to develop the accounting systems to manage the transactions of hundreds of thousands of small traders, when existing brokerage firms already have those computerized processes in place and are opening their own web sites. Thus, in 2017 we have brokerage firms because of history.",
How to calculate ownership for property with a partner,,"To add to ChrisInEdmonton's answer: Your conveyancing solicitor should be able to advise on the details, but a typical arrangement involves: As an alternative to the numbers in Chris' answer, it could be argued that you should first be reimbursed for the fees you paid (accounting for inflation), but that any remaining profits from the property itself should be divided in proportion to your individual investments (so 51.6% to you, and 48.4% to your partner, assuming you contribute to the loans equally).",
Digital envelope system: a modern take,,"If psychologically there is no difference to you between cash and debit (you should test this over a couple of months on yourself and spouse to make sure), then I suggest two debit cards (one for you and spouse) on your main or separate checking account. If you use Mint you can set budgets for each category (envelope) and when a purchase is made Mint will automatically categorize that transaction and deduct that amount from the correct budget.  For example: If you have a ""Fast Food"" budget set at $100 per month and you use the debit at McDonalds, Mint should automatically categorize it as ""Fast Food"" and deduct the amount from the ""Fast Food"" budget that you set.  If it can't determine a category or gets it wrong, you can just select the proper category. Mint has an iPhone (also Android and Windows phone) app that I find very easy to use. Many people state that they don't have this psychologically difference between spending cash and debit/credit, but I would say that most actually do, especially with small purchases.  It doesn't have anything to do with intellect or knowing that you are actually spending money.  It has more to do with tangibility, and the physical act of handing over cash.  You may not add that soda and candy bar to your purchase if you have visible cash in your wallet that will disappear more quickly.  I lived in Germany for 2 years before debit cards were around or common.  I'm a sharp guy and even though I knew that I paid $100 for the 152 DM, it still kind of felt like spending Monopoly money, especially considering that in the US we are used to coins normally being 25 cents or less and in Germany coins are up to 10 DM (almost $10) and are used more frequently than paper.",
Long term investing alternative to mutual funds,,"You are not limited in these 3 choices. You can also invest in ETFs, which are similar to mutual funds, but traded like stocks. Usually (at least in Canada), MERs for ETFs are smaller than for mutual funds.",
Why do interest rates increase or decrease?,,"My answer is specific to the US because you mentioned the Federal Reserve, but a similar system is in place in most countries. Do interest rates increase based on what the market is doing, or do they solely increase based on what the Federal Reserve sets them at? There are actually two rates in question here; the Wikipedia article on the federal funds rate has a nice description that I'll summarize here. The interest rate that's usually referred to is the federal funds rate, and it's the rate at which banks can lend money to each other through the Federal Reserve. The nominal federal funds rate - this is a target set by the Board of Governors of the Federal Reserve at each meeting of the Federal Open Market Committee (FOMC). When you hear in the media that the Fed is changing interest rates, this is almost always what they're referring to. The actual federal funds rate - through the trading desk of the New York Federal Reserve, the FOMC conducts open market operations to enforce the federal funds rate, thus leading to the actual rate, which is the rate determined by market forces as a result of the Fed's operations. Open market operations involve buying and selling short-term securities in order to influence the rate. As an example, the current nominal federal funds rate is 0% (in economic parlance, this is known as the Zero Lower Bound (ZLB)), while the actual rate is approximately 25 basis points, or 0.25%. Why is it assumed that interest rates are going to increase when the Federal Reserve ends QE3? I don't understand why interest rates are going to increase. In the United States, quantitative easing is actually a little different from the usual open market operations the Fed conducts. Open market operations usually involve the buying and selling of short-term Treasury securities; in QE, however (especially the latest and ongoing round, QE3), the Fed has been purchasing longer-term Treasury securities and mortgage-backed securities (MBS). By purchasing MBS, the Fed is trying to reduce the overall risk of the commercial housing debt market. Furthermore, the demand created by these purchases drives up prices on the debt, which drives down interest rates in the commercial housing market. To clarify: the debt market I'm referring to is the market for mortgage-backed securities and other debt derivatives (CDO's, for instance). I'll use MBS as an example. The actual mortgages are sold to companies that securitize them by pooling them and issuing securities based on the value of the pool. This process may happen numerous times, since derivatives can be created based on the value of the MBS themselves, which in turn are based on housing debt. In other words, MBS aren't exactly the same thing as housing debt, but they're based on housing debt. It's these packaged securities the Fed is purchasing, not the mortgages themselves.  Once the Fed draws down QE3, however, this demand will probably decrease. As the Fed unloads its balance sheet over several years, and demand decreases throughout the market, prices will fall and interest rates in the commercial housing market will fall. Ideally, the Fed will wait until the economy is healthy enough to absorb the unloading of these securities.  Just to be clear, the interest rates that QE3 are targeting are different from the interest rates you usually hear about. It's possible for the Fed to unwind QE3, while still keeping the ""interest rate"", i.e. the federal funds rate, near zero. although this is considered unlikely. Also, the Fed can target long-term vs. short-term interest rates as well, which is once again slightly different from what I talked about above. This was the goal of the Operation Twist program in 2011 (and in the 1960's). Kirill Fuchs gave a great description of the program in this answer, but basically, the Fed purchased long-term securities and sold short-term securities, with the goal of twisting the yield curve to lower long-term interest rates relative to short-term rates. The goal is to encourage people and businesses to take on long-term debt, e.g. mortgages, capital investments, etc. My main question that I'm trying to understand is why interest rates are what they are. Is it more of an arbitrary number set by central banks or is it due to market activity? Hopefully I addressed much of this above, but I'll give a quick summary. There are many ""interest rates"" in numerous different financial markets. The rate most commonly talked about is the nominal federal funds rate that I mentioned above; although it's a target set by the Board of Governors, it's not arbitrary. There's a reason the Federal Reserve hires hundreds of research economists. No central bank arbitrarily sets the interest rate; it's determined as part of an effort to reach certain economic benchmarks for the foreseeable future, whatever those may be.  In the US, current Fed policy maintains that the federal funds rate should be approximately zero until the economy surpasses the unemployment and inflation benchmarks set forth by the Evans Rule (named after Charles Evans, the president of the Federal Reserve Bank of Chicago, who pushed for the rule). The effective federal funds rate, as well as other rates the Fed has targeted like interest rates on commercial housing debt, long-term rates on Treasury securities, etc. are market driven. The Fed may enter the market, but the same forces of supply and demand are still at work. Although the Fed's actions are controversial, the effects of their actions are still bound by market forces, so the policies and their effects are anything but arbitrary.",
Value of put if underlying stays below strike?,,"The value at expiration does not depend on the price path for a plain vanilla European or American option. At expiration, the value would simply be: max[K - S_T, 0], where: K is the strike price, and S_T is the underlying price at expiration.",
"For the first time in my life, I'm going to be making real money…what should I do with it?",,"On the one hand, it's a great idea to open a Roth IRA now, once you've got the cash to contribute. It's a tax designation sounds like it would fit your meager earnings this year. The main reason to open one now rather than later is that some types of withdrawls require the account be aged 5 years. But you can also withdraw the amount you've contributed tax free any time. Student loans right now are pricey, so if you're carrying a balance at say 6.8 percent fixed you should pay that down ASAP. Beyond that, I'd keep the rest liquid for now. Having that kind of liquid cash is extremely reassuring, and many of the biggest returns on investment are going to be in your personal life. More fuel efficient vehicles, energy efficient appliances, computer backups, chest freezers and bulk meat purchases, etc.  One example I see every six months is car insurance: I can pay for six months in full or I can pay a smaller monthly bill plus a small fee. That fee is well above current market rates. You see this everywhere; people searching for lower minimum payments rather than lower total costs. Save your money up and be the smart buyer. It's too damn expensive to be broke.",
Why don't market indexes use aggregate market capitalization?,,"They do but you're missing some calculations needed to gain an understanding. Intro To Stock Index Weighting Methods notes in part: Market cap is the most common weighting method used by an index.   Market cap or market capitalization is the standard way to measure the   size of the company. You might have heard of large, mid, or small cap   stocks? Large cap stocks carry a higher weighting in this index. And   most of the major indices, like the S&P 500, use the market cap   weighting method. Stocks are weighted by the proportion of their market cap to the total   market cap of all the stocks in the index. As a stock’s price and   market cap rises, it gains a bigger weighting in the index. In turn   the opposite, lower stock price and market cap, pushes its weighting   down in the index.  Pros Proponents argue that large companies have a bigger effect on the   economy and are more widely owned. So they should have a bigger   representation when measuring the performance of the market. Which is   true. Cons It doesn’t make sense as an investment strategy. According to a market   cap weighted index, investors would buy more of a stock as its price   rises and sell the stock as the price falls. This is the exact   opposite of the buy low, sell high mentality investors should use. Eventually, you would have more money in overpriced stocks and less in   underpriced stocks. Yet most index funds follow this weighting method. Thus, there was likely a point in time where the S & P 500's initial sum was equated to a specific value though this is the part you may be missing here. Also, how do you handle when constituents change over time? For example, suppose in the S & P 500 that a $100,000,000 company is taken out and replaced with a $10,000,000,000 company that shouldn't suddenly make the index jump by a bunch of points because the underlying security was swapped or would you be cool with there being jumps when companies change or shares outstanding are rebalanced? Consider carefully how you answer that question. In terms of histories, Dow Jones Industrial Average and S & P 500 Index would be covered on Wikipedia where from the latter link: The ""Composite Index"",[13] as the S&P 500 was first called when it   introduced its first stock index in 1923, began tracking a small   number of stocks. Three years later in 1926, the Composite Index   expanded to 90 stocks and then in 1957 it expanded to its current   500.[13] Standard & Poor's, a company that doles out financial information and analysis, was founded in 1860 by Henry Varnum Poor. In   1941 Poor's Publishing (Henry Varnum Poor's original company) merged   with Standard Statistics (founded in 1906 as the Standard Statistics   Bureau) and therein assumed the name Standard and Poor's Corporation.   The S&P 500 index in its present form began on March 4, 1957.   Technology has allowed the index to be calculated and disseminated in   real time. The S&P 500 is widely used as a measure of the general   level of stock prices, as it includes both growth stocks and value   stocks. In September 1962, Ultronic Systems Corp. entered into an agreement   with Standard and Poor's. Under the terms of this agreement, Ultronics   computed the S&P 500 Stock Composite Index, the 425 Stock Industrial   Index, the 50 Stock Utility Index, and the 25 Stock Rail Index.   Throughout the market day these statistics were furnished to Standard   & Poor's. In addition, Ultronics also computed and reported the 94 S&P   sub-indexes.[14] There are also articles like Business Insider that have this graphic that may be interesting: S & P changes over the years The makeup of the S&P 500 is constantly changing notes in part: ""In most years 25 to 30 stocks in the S&P 500 are replaced,"" said   David Blitzer, S&P's Chairman of the Index Committee. And while there   are strict guidelines for what companies are added, the final decision   and timing of that decision depends on what's going through the heads   of a handful of people employed by Dow Jones.",
"I file 83(b) election, but did't include a copy of it in that year’s tax return",,"I've consulted with 5-6 accountants and people who've had the issue before. The advice I received boils down to: ""If you do not attach your 83b with your personal tax return it is not effective. However you can still correct the requirement to file it along with your tax return, because you are within the 3 year window of when the return was originally due."" So you can amend your return/file it late within a certain window and things should be OK. The accountants that have confirmed this are Vanessa Kruze, Wray Rives and Augie Rakow - all of them corporate and credible accountants. You also need to keep onto the confirmation the IRS sent you in case of an audit. There is nothing on IRS.gov about attaching your 83b on a filed late or amended return but those accountants are people who say they've seen it happen frequently, have consulted with the IRS for solutions and that's the one they'd advise one to do in such situation. disclaimer: I am not a CPA",
What one bit of financial advice do you wish you could've given yourself five years ago?,,"I wish I had started contributing to the pension fund offered by my employer sooner than it became compulsory. That is, I started working when I was 23 but did not contribute to the pension fund until I was 30 (the age at which it is compulsory to do so). I lost a lot of productive years in mid to late 90s, when the stocks were doing well. :-(",
What is a Discount Called in the Context of a Negative Interest Rate?,,"Negative Yields on Bonds is opposite of Getting profit on your investment. This is some kind of new practice from world wide financial institute.  the interest rate is -0.05% for ten years. So a $100,000 bond under   those terms would be ""discounted"" to $100,501, give or take. No, actually what you are going to get out from this investment is after 10 years when this investment is mature for liquidation, you will get return not even your principle $100,000 , but ( (Principle $100,000) minus (Negative Yields @ -0.05) Times ( 10 Years ) ) assume the rates are on simple annual rate.  Now anyone may wander why should someone going to buy this kind of investment where I am actually giving away not only possible profit also losing some of principle amount!  This might looks real odd, but there is other valid reason for issuing / investing on such kind of bond.  From investor prospective: Every asset has its own 'expense' for keeping ownership of it. This is also true for money/currency depending on its size. And other investment possibility and risk factor. The same way people maintain checking account with virtually no visible income vs. Savings account where bank issue some positive rate of interest with various time factor like annually/half-yearly/monthly. People with lower level of income but steady on flow choose savings where business personals go for checking one. Think of Millions of Ideal money with no secure investment opportunity have to option in real. Option one to keeping this large amount of money in hand, arranging all kind of security which involve extra expense, risk and headache where Option two is invest on bond issued by Government of country. Owner of that amount will go for second one even with negative yields on bonds where he is paying in return of security and risk free grantee of getting it back on time.  On Issuing Government prospective: Here government actually want people not to keep money idle investing bonds, but find any possible sector to invest which might profitable for both Investor + Grater Community ultimately country.  This is a basic understanding on issue/buy/selling of Negative interest bearing bond on market.   Hope I could explain it here. Not to mention, English is not my 1st language at all. So ignore my typo, grammatical error and welcome to fix it.  Cheers!",
Where should I invest to hedge against the stock market going down?,,"There are multiple ETFs which inversely track the common indices, though many of these are leveraged.  For example, SDS tracks approximately -200% of the S&P 500.  (Note: due to how these are structured, they are only suitable for very short term investments) You can also consider using Put options for the various indices as well.  For example, you could buy a Put for the SPY out a year or so to give you some fairly cheap insurance (assuming it's a small part of your portfolio). One other option is to invest against the market volatility.  As the market makes sudden swings, the volatility goes up; this tends to be true more when it falls than when it rises.  One way of invesing in market volatility is to trade options against the VIX.",
What happens to the insider trade profits?,,"You seem to have a little confusion over terminology that should be cleared up: You are calling this ""day-trading"" Day-trading is the term for performing multiple trading actions in a single day. While it appears that the COO has performed a buy and a sell on the same day, most people would consider this a 'single trade'. In reality, it seems that the COO had 'stock options' [a contract providing the option for the holder to buy stock at a specific price, at some point in the future], provided as part of his compensation package. He decided or was required to 'exercise' those options today. This means he bought the shares using his special 'option price'. It is extremely common for employees who exercise stock options, to sell all of the resulting stock immediately. This is very different from usual day-trading, which implies that he would have bought stock in the morning at a low price, and then sold it later at a high price. You are calling this 'insider trading'. That term specifically often implies some level of unethical behavior. In general, stock options offered to executive employees are strictly limited in how they can be exercised. For example, most stock option plans require employees to wait x number of years before they can exercise them. This gives the employee incentive to stay longer, and for a high-level executive with the ability to strongly impact company performance, it gives incentive to do well. Technically you are correct, this is likely considered an 'insider trade', but given that it seems to have been a stock option exercise, it does not necessarily imply that there was any special reasoning for why he did the trade today. It could simply be that today was the first day the stock option rules allowed him to exercise. As to your final question - no, these profits are the COO's, to do with as he likes.",
Is CLM a stock or an ETF?,,"Cornerstone Strategic Value Fund, Inc. is a diversified, closed-end management investment company. It was incorporated in Maryland on May 1, 1987 and commenced investment operations on June 30, 1987. The Fund’s shares of Common Stock are traded on the NYSE MKT under the ticker symbol “CLM.”[1] That essentially means that CLM is a company all of whose assets are held as tradable financial instruments OR EQUIVALENTLY CLM is an ETF that was created as a company in its own right. That it was founded in the 80s, before the modern definition of ETFs really existed, it is probably more helpful to think of it by the first definition as the website mentions that it is traded as common stock so its stock holds more in common with stock than ETFs. [1] http://www.cornerstonestrategicvaluefund.com/",
Ways to establish credit history for international student,,"I think you should try to talk with the credit union at your campus first, they may have offer you a credit card even you don't have any credit history.",
Do I have to pay a capital gains tax if I rebuy the same stock within 30 days?,,Yes. Wash rules are only for losses.,
